INPUT_0_DATATYPE,INPUT_0_MEMORY,OUTPUT_0_MEMORY,NUM_TILES,AVG_DEVICE_KERNEL_DURATION [ns]
BFLOAT8_B,DRAM_INTERLEAVED,L1_INTERLEAVED,12500,101091.8
BFLOAT16,DRAM_INTERLEAVED,DRAM_INTERLEAVED,1,2503.6
BFLOAT16,DRAM_INTERLEAVED,DRAM_INTERLEAVED,10,3005.8
BFLOAT16,DRAM_INTERLEAVED,DRAM_INTERLEAVED,100,4437.2
BFLOAT16,DRAM_INTERLEAVED,DRAM_INTERLEAVED,1000,24838.8
BFLOAT16,DRAM_INTERLEAVED,DRAM_INTERLEAVED,2000,42884.3
BFLOAT16,DRAM_INTERLEAVED,DRAM_INTERLEAVED,5000,108129.8
BFLOAT16,DRAM_INTERLEAVED,DRAM_INTERLEAVED,8000,159193.4
BFLOAT16,DRAM_INTERLEAVED,DRAM_INTERLEAVED,10000,223823.6
BFLOAT16,DRAM_INTERLEAVED,DRAM_INTERLEAVED,12500,251875.7
BFLOAT4_B,DRAM_INTERLEAVED,DRAM_INTERLEAVED,1,2322.1
BFLOAT4_B,DRAM_INTERLEAVED,DRAM_INTERLEAVED,10,2500.4
BFLOAT4_B,DRAM_INTERLEAVED,DRAM_INTERLEAVED,100,3224.1
BFLOAT4_B,DRAM_INTERLEAVED,DRAM_INTERLEAVED,1000,10995.1
BFLOAT4_B,DRAM_INTERLEAVED,DRAM_INTERLEAVED,2000,18786.1
BFLOAT4_B,DRAM_INTERLEAVED,DRAM_INTERLEAVED,5000,43310.5
BFLOAT4_B,DRAM_INTERLEAVED,DRAM_INTERLEAVED,8000,66642.4
BFLOAT4_B,DRAM_INTERLEAVED,DRAM_INTERLEAVED,10000,86134.4
BFLOAT4_B,DRAM_INTERLEAVED,DRAM_INTERLEAVED,12500,104632.3
BFLOAT8_B,DRAM_INTERLEAVED,DRAM_INTERLEAVED,1,2384.5
BFLOAT8_B,DRAM_INTERLEAVED,DRAM_INTERLEAVED,10,2629.8
BFLOAT8_B,DRAM_INTERLEAVED,DRAM_INTERLEAVED,100,3585.8
BFLOAT8_B,DRAM_INTERLEAVED,DRAM_INTERLEAVED,1000,14096.6
BFLOAT8_B,DRAM_INTERLEAVED,DRAM_INTERLEAVED,2000,24834.9
BFLOAT8_B,DRAM_INTERLEAVED,DRAM_INTERLEAVED,5000,58959.5
BFLOAT8_B,DRAM_INTERLEAVED,DRAM_INTERLEAVED,8000,90530.9
BFLOAT8_B,DRAM_INTERLEAVED,DRAM_INTERLEAVED,10000,123075.9
BFLOAT8_B,DRAM_INTERLEAVED,DRAM_INTERLEAVED,12500,139691.4
